epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7169,1.2223,2.15862,1.05242,0.71561,0.64521,0.69706,0.45288,1.15904,1.97294,1.01057,0.000552194,0.000552194,0.000552194
2,22.0429,1.22396,1.49217,1.06745,0.76111,0.65343,0.74932,0.46994,1.26034,1.5682,1.06855,0.00108592,0.00108592,0.00108592
3,32.2458,1.22344,1.2565,1.07568,0.79179,0.6676,0.75832,0.4988,1.19914,1.82273,1.06828,0.00159765,0.00159765,0.00159765
4,42.0857,1.18381,1.09888,1.06936,0.65881,0.63649,0.69575,0.45439,1.19928,1.51791,1.08619,0.00156798,0.00156798,0.00156798
5,51.956,1.12781,0.99955,1.04994,0.79724,0.66971,0.76671,0.4914,1.17561,1.1757,1.04485,0.00153497,0.00153497,0.00153497
6,61.8047,1.10687,0.93261,1.02765,0.81882,0.74418,0.8318,0.57539,1.10088,0.96305,1.04219,0.00150197,0.00150197,0.00150197
7,71.7895,1.09659,0.90612,1.02935,0.76309,0.74029,0.81281,0.54351,1.09928,1.06671,1.02491,0.00146896,0.00146896,0.00146896
8,81.6213,1.06602,0.87608,1.02142,0.76118,0.70609,0.80387,0.56408,1.08925,1.14029,1.01879,0.00143595,0.00143595,0.00143595
9,91.4396,1.03771,0.82939,1.00638,0.86624,0.73867,0.84831,0.59149,1.06424,0.93727,1.00811,0.00140295,0.00140295,0.00140295
10,101.34,1.01948,0.80848,0.99707,0.86603,0.79279,0.88164,0.62604,1.0418,0.76902,1.01403,0.00136994,0.00136994,0.00136994
11,111.322,1.00592,0.77092,1.00311,0.87975,0.79569,0.88452,0.62503,1.0398,0.7643,0.99365,0.00133693,0.00133693,0.00133693
12,121.157,0.99712,0.74822,0.99024,0.87214,0.80384,0.88421,0.6247,1.03597,0.75852,1.00334,0.00130393,0.00130393,0.00130393
13,130.985,0.98969,0.76074,0.97915,0.91393,0.814,0.91303,0.66112,0.97859,0.69396,0.99284,0.00127092,0.00127092,0.00127092
14,140.826,0.9543,0.71187,0.97088,0.85222,0.79234,0.87725,0.63139,0.99422,0.75224,0.98521,0.00123791,0.00123791,0.00123791
15,150.822,0.95994,0.7172,0.97247,0.88395,0.77453,0.88758,0.64288,0.98595,0.74633,0.97988,0.00120491,0.00120491,0.00120491
