epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.19006,1.51943,2.04004,1.09195,0.7269,0.57615,0.6497,0.37695,1.33894,1.38141,0.99917,0.000552969,0.000552969,0.000552969
2,17.5411,1.40823,1.33117,1.04259,0.71374,0.60664,0.67551,0.3901,1.37236,1.23297,1.03115,0.00103547,0.00103547,0.00103547
3,25.6647,1.40691,1.2125,1.04397,0.80103,0.6052,0.69788,0.42229,1.32713,1.33376,1.01057,0.00144461,0.00144461,0.00144461
4,33.6826,1.34732,1.09784,1.02428,0.79425,0.62975,0.70486,0.42943,1.31928,1.10323,1.01205,0.00133693,0.00133693,0.00133693
5,41.7428,1.31186,1.02656,1.01077,0.83323,0.61338,0.74497,0.4867,1.18917,1.03513,0.97826,0.00122691,0.00122691,0.00122691
6,50.2419,1.23838,0.99685,0.98265,0.77324,0.65244,0.74099,0.48828,1.21026,0.98603,0.97307,0.00111689,0.00111689,0.00111689
7,58.2563,1.21236,0.89035,0.97025,0.82389,0.65344,0.74949,0.48554,1.21366,0.96083,0.98791,0.00100687,0.00100687,0.00100687
8,66.2182,1.166,0.85552,0.95984,0.8678,0.62386,0.74782,0.50126,1.13814,0.92583,0.95081,0.000896846,0.000896846,0.000896846
9,74.1591,1.13776,0.82466,0.94252,0.8879,0.66224,0.79315,0.54088,1.10102,0.77179,0.93969,0.000786824,0.000786824,0.000786824
10,82.0488,1.11113,0.77152,0.93913,0.84677,0.72502,0.80553,0.54642,1.12029,0.70704,0.93597,0.000676802,0.000676802,0.000676802
11,89.9537,1.06303,0.71999,0.92015,0.85284,0.71542,0.80765,0.55355,1.08119,0.71846,0.91765,0.00056678,0.00056678,0.00056678
12,98.042,1.04798,0.68736,0.91642,0.89473,0.69315,0.82051,0.55995,1.07016,0.68984,0.92082,0.000456758,0.000456758,0.000456758
13,105.953,1.03919,0.66792,0.91455,0.87577,0.74909,0.83145,0.57973,1.01011,0.66952,0.89829,0.000346736,0.000346736,0.000346736
14,113.878,1.00505,0.63058,0.90207,0.92807,0.72711,0.84081,0.57909,1.0286,0.62578,0.90403,0.000236714,0.000236714,0.000236714
15,121.809,0.97999,0.60515,0.89451,0.88098,0.75137,0.84503,0.59283,0.99576,0.61281,0.90017,0.000126692,0.000126692,0.000126692
